highway;other_tags;ame_d;ame_g
residential;"""bicycle""=>""designated"",""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""access""=>""agricultural"",""bicycle""=>""designated"",""description""=>""voie verte"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""fine_gravel""";VOIE VERTE;VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""cycleway:surface""=>""concrete"",""description""=>""2011/NT/R/DGU-P 128"",""foot""=>""designated"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""oneway""=>""yes"",""surface""=>""concrete:plates""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway:surface""=>""concrete:plates"",""footway:surface""=>""concrete:plates"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
residential;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""junction""=>""roundabout""";BANDE CYCLABLE;AUCUN
cycleway;"""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:right""=>""opposite_lane"",""oneway""=>""yes""";DOUBLE SENS CYCLABLE BANDE;AUCUN
cycleway;"""layer""=>""-1"",""tunnel""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes"",""foot""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""description""=>""Voie verte"",""foot""=>""designated"",""motor_vehicle""=>""no"",""tracktype""=>""grade2""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""tracktype""=>""grade2""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""designated"",""layer""=>""1"",""motor_vehicle""=>""no"",""tracktype""=>""grade2""";VOIE VERTE;VOIE VERTE
cycleway;"""access""=>""no"",""alt_name""=>""Bowstring"",""bicycle""=>""designated"",""bridge""=>""yes"",""cycleway""=>""sidewalk"",""layer""=>""1"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""bridge""=>""yes"",""cycleway""=>""sidewalk"",""layer""=>""1"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""yes"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""oneway""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated""";VOIE VERTE;VOIE VERTE
cycleway;"""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""motor_vehicle""=>""no""";AUTRE;AUTRE
cycleway;"""cyclability""=>""good"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
service;"""access""=>""no"",""admin_level""=>""11"",""bicycle""=>""designated"",""boundary""=>""administrative"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""yes""";COULOIR BUS+VELO;AUCUN
residential;"""cycleway""=>""shared_lane"",""maxspeed""=>""30"",""oneway""=>""yes""";AUTRE;AUCUN
cycleway;"""foot""=>""yes"",""oneway""=>""yes"",""oneway:foot""=>""no""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""oneway""=>""yes"",""parking:lane:left""=>""perpendicular"",""parking:lane:left:perpendicular""=>""street_side"",""parking:lane:right""=>""no"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""segregated"",""oneway""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:left""=>""lane"",""maxspeed""=>""30"",""zone:maxspeed""=>""FR:30""";AUCUN;BANDE CYCLABLE
secondary;"""bus:lanes""=>""yes|designated"",""cycleway:right""=>""share_busway"",""lanes""=>""2"",""lanes:bus""=>""1"",""maxspeed""=>""30"",""maxweight""=>""7.5"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:width""=>""ARCore"",""surface""=>""asphalt"",""width""=>""3.3""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""no"",""oneway""=>""no"",""surface""=>""asphalt"",""width""=>""3""";VOIE VERTE;VOIE VERTE
cycleway;"""layer""=>""-1"",""oneway""=>""no"",""tunnel""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""compacted""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""concrete""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
residential;"""bicycle""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""paved"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""alt_name""=>""Avenue de l'École d'Agriculture-Gabriel Buchet"",""cycleway""=>""lane"",""maxspeed""=>""30"",""parking:lane:both""=>""diagonal"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""alt_name""=>""Avenue de l'École d'Agriculture-Gabriel Buchet"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
secondary;"""alt_name""=>""Avenue de l'École d'Agriculture Gabriel Buchet"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""alt_name""=>""Avenue de l'École d'Agriculture-Gabriel Buchet"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
living_street;"""access""=>""destination"",""bicycle""=>""designated"",""lanes""=>""1"",""maxspeed""=>""10"",""maxweight""=>""7.5"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""bicycle""=>""designated"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""right"",""surface""=>""paving_stones""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
secondary;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""destination""=>""PLAN des 4 SEIGNEURS;C.N.R.S."",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:left""=>""share_busway"",""lanes""=>""2"",""maxspeed""=>""30"",""surface""=>""asphalt""";AUCUN;COULOIR BUS+VELO
tertiary;"""cycleway""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
tertiary;"""access""=>""destination"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway""=>""lane"",""junction""=>""roundabout""";BANDE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""shared"",""foot""=>""yes"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""layer""=>""1"",""lit""=>""no"",""oneway""=>""yes"",""oneway:bicycle""=>""yes"",""surface""=>""paving_stones""";PISTE CYCLABLE;AUCUN
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""lit""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""motor_vehicle""=>""no"",""surface""=>""ground""";AUTRE;AUTRE
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08""";COULOIR BUS+VELO;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""no"",""segregated""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""foot""=>""yes"",""layer""=>""1""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""segregated""=>""yes""";VOIE VERTE;VOIE VERTE
cycleway;"""bridge""=>""aqueduct""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""no"",""lit""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""bicycle""=>""yes"",""motor_vehicle""=>""private"",""oneway""=>""yes"",""oneway:bicycle""=>""no""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""old_name""=>""Rue de Montferrier"",""oneway:bicycle""=>""no"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway""=>""opposite"",""oneway""=>""yes"",""ref""=>""M 27E6""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway:left""=>""lane"",""lanes""=>""2"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
residential;"""cycleway:both""=>""shared_lane"",""cycleway:both:lane""=>""pictogram"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""surface""=>""asphalt""";AUTRE;AUTRE
cycleway;"""bicycle""=>""designated"",""foot""=>""yes"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""foot""=>""permissive"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:right""=>""track""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
unclassified;"""cycleway:left""=>""lane"",""cycleway:left:oneway""=>""-1"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes""";AUCUN;BANDE CYCLABLE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""segregated""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
unclassified;"""cycleway:left""=>""opposite_lane"",""lanes""=>""1"",""maxspeed""=>""30"",""maxweight""=>""3.5"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
cycleway;"""foot""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""admin_level""=>""10"",""alt_name""=>""Avenue François Delmas"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""4"",""old_name""=>""Avenue de Nîmes"",""political_division""=>""canton""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""lcn""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
service;"""access""=>""no"",""bicycle""=>""yes"",""emergency""=>""yes"",""foot""=>""yes""";AUTRE;AUTRE
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""maxspeed""=>""30"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""341722791A"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""lane"",""oneway""=>""yes""";AUCUN;BANDE CYCLABLE
tertiary;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""ref""=>""M 27""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""lane""";AUCUN;BANDE CYCLABLE
residential;"""cycleway:left""=>""opposite_lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""FR:zone30""";AUCUN;DOUBLE SENS CYCLABLE BANDE
cycleway;"""lit""=>""no"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""description""=>""voie verte"",""foot""=>""designated"",""lit""=>""no"",""segregated""=>""no"",""surface""=>""fine_gravel""";VOIE VERTE;VOIE VERTE
cycleway;"""oneway""=>""no"",""surface""=>""concrete:plates""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""description""=>""2016-P 110"",""foot""=>""no"",""lit""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""lanes""=>""2"",""maxspeed""=>""50"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
primary;"""bridge""=>""yes"",""cyclability""=>""inadvisable"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""layer""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""maxweight:signed""=>""no"",""oneway""=>""yes"",""shoulder""=>""no"",""surface""=>""asphalt"",""was:lanes""=>""2""";COULOIR BUS+VELO;AUCUN
residential;"""cycleway:right""=>""lane"",""maxspeed""=>""50"",""oneway""=>""no""";BANDE CYCLABLE;AUCUN
residential;"""access""=>""no"",""motor_vehicle""=>""no"",""oneway""=>""yes""";AUTRE;AUCUN
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P503"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""ground""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""note:MMM""=>""2010/NT/R/DGU-P503"",""segregated""=>""no"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
residential;"""cyclability""=>""good"",""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""none"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""access""=>""yes"",""bicycle""=>""yes"",""cyclability""=>""good"",""doubleway""=>""yes"",""foot""=>""yes"",""maxspeed""=>""30"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes"",""cycleway""=>""shared"",""oneway:bicycle""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""embankment""=>""yes"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""dirt""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""official"",""tracktype""=>""grade2""";VOIE VERTE;VOIE VERTE
cycleway;"""foot""=>""yes"",""oneway""=>""yes"",""oneway:foot""=>""no"",""segregated""=>""no""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""advisory"",""lane_markings""=>""no"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""lit""=>""yes"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""footway""=>""sidewalk"",""lit""=>""yes"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""surface""=>""unhewn_cobblestone""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""ref""=>""M 5E6""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no""";VOIE VERTE;VOIE VERTE
cycleway;"""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""paving_stones""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""lit""=>""yes"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""paving_stones""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""segregated""=>""yes"",""smoothness""=>""good"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""crossing"",""oneway:bicycle""=>""yes"",""oneway:foot""=>""no"",""segregated""=>""no""";VOIE VERTE;AUCUN
residential;"""bicycle""=>""designated"",""cycleway:right""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""description""=>""2009/NT/R/DGU-P188"",""foot""=>""designated"",""horse""=>""no"",""motor_vehicle""=>""no"",""segregated""=>""no"",""smoothness""=>""intermediate"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""permissive"",""lit""=>""yes"",""segregated""=>""no"",""smoothness""=>""intermediate"",""surface""=>""fine_gravel""";VOIE VERTE;VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""lit""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lit""=>""yes"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""description""=>""2009/NT/R/DGU-P188"",""foot""=>""designated"",""horse""=>""no"",""lit""=>""yes"",""segregated""=>""no"",""smoothness""=>""good"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P400"",""foot""=>""designated"",""horse""=>""no"",""segregated""=>""no""";VOIE VERTE;VOIE VERTE
cycleway;"""tunnel""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""designated"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
primary;"""bridge""=>""yes"",""cyclability""=>""inadvisable"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lanes:bus""=>""1"",""layer""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""maxweight:signed""=>""no"",""oneway""=>""yes"",""shoulder""=>""no"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary_link;"""cycleway:right""=>""share_busway"",""lanes""=>""2"",""maxspeed""=>""50"",""maxspeed:type""=>""FR:urban"",""oneway""=>""yes"",""sidewalk""=>""both"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""3"",""lanes:bus""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""341722415S"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""341722415S"",""surface""=>""asphalt"",""turn:lanes""=>""through|through;right""";COULOIR BUS+VELO;AUCUN
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""segregated""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
primary;"""bicycle""=>""yes"",""cyclability""=>""good"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
tertiary;"""cyclability""=>""inadvisable"",""cycleway:left""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:left""=>""parallel"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
tertiary;"""cyclability""=>""inadvisable"",""cycleway""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:both""=>""parallel"",""sidewalk""=>""both"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""cyclability""=>""good"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""layer""=>""-1"",""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt"",""tunnel""=>""yes""";PISTE CYCLABLE;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lanes:bus""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
cycleway;"""cyclability""=>""good"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""cycleway:surface""=>""sett"",""cycleway:width""=>""1.7"",""foot""=>""yes"",""footway:surface""=>""sett"",""lit""=>""yes"",""segregated""=>""yes"",""source:cycleway:width""=>""ARCore"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway:surface""=>""concrete"",""footway:surface""=>""concrete"",""oneway""=>""yes"",""segregated""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated"",""description""=>""2016-P 110"",""foot""=>""designated"",""segregated""=>""yes"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
