highway;other_tags;ame_d;ame_g
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""track"",""cycleway:right:segregated""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""right"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""track"",""cycleway:left:segregated""=>""no"",""cycleway:right""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""right"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE PISTE
residential;"""bicycle""=>""yes"",""cyclability""=>""good"",""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""bicycle""=>""designated"",""cycleway""=>""opposite"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""right"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;NA;PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""smoothness""=>""excellent"",""source:maxspeed""=>""sign"",""start_date""=>""2021-10-31"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
primary;"""cycleway:right""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:right""=>""lane""";BANDE CYCLABLE;AUCUN
primary_link;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""destination""=>""Palavas"",""lanes""=>""1"",""oneway""=>""yes"",""ref""=>""M 986"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt"",""was:lanes""=>""3""";COULOIR BUS+VELO;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""3"",""maxspeed""=>""50"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""341722415S""";COULOIR BUS+VELO;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""admin_level""=>""10"",""bicycle""=>""yes"",""boundary""=>""administrative"",""cyclability""=>""inadvisable"",""cycleway:left""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""4"",""maxspeed""=>""50"",""ref:FR:FANTOIR""=>""341722415S"",""segregated""=>""no"",""surface""=>""asphalt""";AUCUN;COULOIR BUS+VELO
residential;"""cycleway:left""=>""lane"",""maxspeed""=>""50""";AUCUN;BANDE CYCLABLE
residential;"""cycleway:right""=>""lane"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
track;"""motor_vehicle""=>""no"",""tracktype""=>""grade2""";AUTRE;AUTRE
residential;"""cycleway""=>""opposite"",""oneway""=>""yes"",""oneway:bicycle""=>""no""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""foot""=>""yes"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
